Dataset,ASpT,Sputnik,RoDe
ga2010,0.086944,1.343744,0.071680
garon2,0.102624,0.386048,0.054272
gas_sensor,0.101376,0.877088,0.057344
gearbox,10.406912,1.136256,0.069632
graphics,0.072608,0.388416,0.053248
great-britain_osm,0.446976,2.364096,0.407552
gridgena,0.083520,0.885312,0.058368
gsm_106857,0.292864,2.648096,0.090112
gupta1,10.228736,0.425088,0.057344
gupta2,12.337152,0.441120,0.070656
gupta3,29.611008,0.425984,0.081920
gyro,4.475904,0.406560,0.057344
gyro_k,4.549632,0.405536,0.055296
gyro_m,0.091168,0.403008,0.055296
halfb,10.985472,0.930784,0.076800
hangGlider_4,0.182272,0.405504,0.053248
hangGlider_5,0.187392,0.406528,0.053248
hcircuit,0.096256,0.894496,0.061440
helm2d03,0.095232,1.568352,0.076800
helm3d01,0.091776,0.398624,0.056320
hi2010,0.073376,0.417280,0.051200
hollywood-2009,53.766144,3.063392,0.136192
hood,0.149216,0.892352,0.070656
hugetrace-00000,0.306944,1.962976,0.264192
hugetric-00000,0.373984,2.224064,0.437248
hugetric-00010,0.401984,2.212352,0.361472
hugetric-00020,0.434016,2.279712,0.374784
human_gene1,25.488384,0.416320,0.070656
human_gene2,21.391359,0.420864,0.067584
hvdc1,0.082688,0.398944,0.052224
hvdc2,0.094528,0.998528,0.078848
iChem_Jacobian,0.105216,1.388672,0.074752
ia2010,0.085504,0.891968,0.067584
ibm_matrix_2,0.176128,0.917632,0.058368
id2010,0.075968,0.897728,0.063488
igbt3,0.090080,0.395264,0.052224
il2010,0.108416,1.397376,0.075776
image_interp,0.078880,0.954880,0.067584
in-2004,21.567488,1.588224,0.114688
in2010,0.086656,1.350048,0.071680
inlet,0.096576,0.403456,0.054272
inline_1,18.210815,1.936544,0.084992
ins2,11.575296,1.397632,0.106496
internet,0.084832,0.938272,0.062464
invextr1_new,9.984000,0.442400,0.074752
italy_osm,0.397280,6.467840,0.358400
jan99jac060,0.070272,0.404096,0.051200
jan99jac060sc,0.070368,0.407904,0.054272
jan99jac080,0.072384,0.398784,0.052224
jan99jac080sc,0.071680,0.403968,0.051200
jan99jac100,0.072192,0.416384,0.054272
jan99jac100sc,0.073312,0.410336,0.053248
jan99jac120,0.072480,0.404160,0.055296
jan99jac120sc,0.075552,0.405632,0.054272
jnlbrng1,0.072416,0.389568,0.054272
juba40k,0.074528,0.391776,0.055296
k1_san,0.078464,0.939456,0.060416
k3plates,0.099520,0.411648,0.055296
karted,7.793664,0.919392,0.068608
kim1,0.093344,0.395424,0.055296
kim2,0.163456,1.422656,0.082944
kkt_power,0.216864,1.554848,0.149504
kneser_10_4_1,0.095584,1.346592,0.073728
kron_g500-logn16,10.863616,1.104768,0.077824
kron_g500-logn17,11.801600,0.972160,0.071680
kron_g500-logn18,16.664576,5.542144,0.080896
kron_g500-logn19,23.118849,1.978560,0.122880
kron_g500-logn20,38.940674,2.006176,0.116736
kron_g500-logn21,69.391357,2.236256,0.224256
ks2010,0.086912,0.895072,0.067584
ky2010,0.083296,0.908288,0.067584
la2010,0.084160,0.937120,0.067584
laminar_duct3D,0.179200,0.417888,0.061440
language,5.236736,1.364736,0.084992
largebasis,0.123968,1.999968,0.079872
ldoor,19.639999,1.954848,0.101376
lhr10,0.112640,0.392192,0.051200
lhr10c,0.113664,0.393216,0.052224
lhr11,0.114688,0.392192,0.053248
lhr11c,0.112640,0.393216,0.053248
lhr14,0.119808,0.386048,0.052224
lhr14c,0.112640,0.387072,0.054272
lhr17,0.112640,0.388096,0.056320
lhr17c,0.114688,0.389120,0.055296
lhr34,0.117760,0.422912,0.060416
lhr34c,0.114688,0.416128,0.057344
lhr71,0.123904,0.403904,0.058368
lhr71c,0.122880,0.402624,0.061440
li,4.629504,0.419616,0.053248
light_in_tissue,0.083776,0.390656,0.054272
ljournal-2008,37.947392,2.850176,0.311296
lowThrust_10,0.184320,0.408256,0.053248
lowThrust_11,0.185344,0.407424,0.054272
lowThrust_12,0.186368,0.416192,0.051200
lowThrust_13,0.188416,0.405600,0.052224
lowThrust_4,0.169984,0.397312,0.051200
lowThrust_5,0.179200,0.402432,0.052224
lowThrust_6,0.175104,0.402176,0.053248
lowThrust_7,0.179200,0.415584,0.052224
lowThrust_8,0.185344,0.407520,0.052224
lowThrust_9,0.186368,0.411008,0.054272
lp1,7.321600,1.963648,0.103424
lp_ken_18,4.531328,0.952000,0.061440
lp_nug20,0.094560,0.363520,0.053248
lp_nug30,0.113856,0.873376,0.058368
lp_osa_60,11.010048,0.416768,0.072704
lp_pds_10,0.074432,0.397088,0.051200
lp_pds_20,0.084768,0.455424,0.054272
lpl1,0.158720,0.414816,0.057344
lpl3,0.204800,0.403456,0.051200
lung2,0.090304,0.886016,0.060416
luxembourg_osm,0.078464,0.880768,0.060416
m133-b3,0.084352,0.869984,0.066560
m14b,0.098432,0.897408,0.066560
m_t1,10.808320,0.673216,0.064512
ma2010,0.083072,0.889248,0.065536
mac_econ_fwd500,0.084576,1.686464,0.069632
majorbasis,0.093664,2.863552,0.066560
mario001,0.072480,0.386624,0.053248
mario002,0.104672,1.378688,0.104448
mark3jac040,0.072448,0.385536,0.053248
mark3jac040sc,0.072288,0.383488,0.052224
mark3jac060,0.072416,0.388096,0.054272
mark3jac060sc,0.071264,0.391584,0.053248
mark3jac080,0.073280,0.388768,0.054272
mark3jac080sc,0.074336,0.387328,0.053248
mark3jac100,0.074464,0.403552,0.055296
mark3jac100sc,0.074368,0.404448,0.055296
mark3jac120,0.075552,0.394944,0.055296
mark3jac120sc,0.076416,0.394848,0.056320
mark3jac140,0.074016,0.392544,0.057344
mark3jac140sc,0.076832,0.390304,0.057344
matrix-new_3,6.681600,0.806304,0.062464
matrix_9,0.150528,0.888256,0.060416
mc2depi,0.098240,1.578816,0.079872
md2010,0.083232,0.895520,0.063488
me2010,0.079840,0.899712,0.060416
memchip,0.246784,1.675552,0.171008
memplus,0.193536,0.397216,0.052224
mi2010,0.096544,1.521952,0.086016
minsurfo,0.073280,0.398208,0.059392
mip1,12.950528,0.397888,0.067584
mixtank_new,9.744384,0.415200,0.053248
mk12-b3,0.072576,0.370496,0.055296
mk12-b4,0.075968,0.373248,0.056320
mk13-b5,0.075936,0.902208,0.064512
mn2010,0.088288,0.913600,0.069632
mo2010,0.087392,1.530848,0.087040
mod2,0.093952,0.412480,0.054272
mono_500Hz,8.764416,0.902304,0.069632
mouse_gene,21.472256,0.415360,0.064512
mri1,0.090816,1.235904,0.060416
mri2,0.086816,0.860992,0.058368
ms2010,0.084640,0.889280,0.069632
msc10848,4.944896,0.409600,0.054272
msc23052,4.699712,0.424608,0.054272
msdoor,13.191328,1.281312,0.081920
mt2010,0.081504,0.900896,0.064512
mult_dcop_01,0.240640,0.412832,0.055296
mult_dcop_02,0.241664,0.408096,0.054272
mult_dcop_03,0.244736,0.409056,0.054272
n4c6-b10,0.084096,0.855520,0.063488
n4c6-b11,0.084672,0.872096,0.060416
n4c6-b12,0.077696,0.372288,0.055296
n4c6-b5,0.083456,0.372928,0.055296
n4c6-b6,0.075392,0.867584,0.061440
n4c6-b7,0.080032,0.873664,0.065536
n4c6-b8,0.084608,0.871488,0.066560
n4c6-b9,0.085312,0.864480,0.065536
nasasrb,6.431680,0.943456,0.057344
nc2010,0.087904,1.419136,0.071680
ncvxbqp1,0.075328,0.391680,0.055296
ncvxqp3,0.080864,0.394240,0.058368
ncvxqp5,0.077248,0.390496,0.055296
ncvxqp7,0.080672,0.393504,0.061440
nd12k,12.857344,0.643072,0.062464
nd2010,0.078912,0.901952,0.067584
nd24k,17.283072,0.976128,0.064512
nd6k,10.295296,0.418336,0.059392
ne2010,0.082336,0.898048,0.066560
neos,0.101088,8.423232,0.092160
neos1,0.079712,0.901760,0.062464
neos2,0.080064,0.888736,0.063488
neos3,0.125312,1.365344,0.077824
net100,10.742784,0.407296,0.055296
net125,9.928704,0.424992,0.054272
net150,6.971392,0.917984,0.056320
net4-1,6.984704,0.902432,0.062464
net50,0.160768,0.398336,0.055296
net75,4.827136,0.422656,0.054272
netherlands_osm,0.190336,2.299648,0.159744
nh2010,0.073472,0.921952,0.055296
nj2010,0.080672,1.071744,0.086016
nlpkkt120,0.654144,2.314528,0.221184
nlpkkt80,0.266016,2.008160,0.105472
nm2010,0.082464,0.916736,0.064512
nmos3,0.081504,0.392960,0.055296
ns3Da,5.244928,0.413248,0.054272
nsct,4.754432,0.420672,0.054272
nug08-3rd,0.071616,0.389600,0.053248
nv2010,0.082240,0.405792,0.058368
ny2010,0.096608,1.416672,0.072704
obstclae,0.071360,0.389472,0.054272
offshore,0.115072,0.891968,0.068608
oh2010,0.095680,1.400928,0.074752
ohne2,11.332608,0.924832,0.071680
oilpan,7.254016,0.407328,0.057344
ok2010,0.085344,1.378144,0.071680
olafu,4.491264,0.399360,0.055296
olesnik0,0.079712,0.394784,0.060416
onera_dual,0.079904,0.399136,0.058368
onetone1,0.097280,0.419840,0.055296
onetone2,0.072256,0.403840,0.055296
opt1,5.582848,0.399360,0.053248
or2010,0.083584,0.909856,0.068608
p010,1.918976,0.401408,0.052224
p2p-Gnutella31,0.076608,0.949984,0.056320
pa2010,0.104384,1.361824,0.076800
packing-500x100x100-b050,0.321440,2.270464,0.148480
para-10,0.207872,0.928800,0.069632
para-4,0.197632,0.907328,0.068608
para-5,0.208896,0.919840,0.067584
para-6,0.208896,0.928288,0.103424
para-7,0.398336,0.922656,0.071680
para-8,0.207872,1.026336,0.080896
para-9,0.202752,0.925088,0.069632
parabolic_fem,0.113344,1.530560,0.078848
patents,0.293536,5.587776,0.226304
patents_main,0.085408,0.970432,0.083968
pattern1,12.173312,0.400352,0.058368
pcrystk02,4.419584,0.398336,0.055296
pcrystk03,5.252096,0.402912,0.054272
pct20stif,6.546432,0.902848,0.056320
pdb1HYS,9.924608,1.107168,0.057344
pds-100,0.084000,0.955296,0.065536
pds-30,0.090848,0.444928,0.055296
pds-40,0.091584,2.207072,0.062464
pds-50,0.087360,0.461632,0.059392
pds-60,0.094560,0.938944,0.060416
pds-70,0.093120,0.944128,0.062464
pds-80,0.093536,0.954784,0.064512
pds-90,0.083136,0.956768,0.065536
pds10,0.080928,0.394016,0.053248
pfinan512,0.079616,0.390368,0.059392
pkustk01,4.965376,0.421088,0.056320
pkustk02,4.400128,0.417792,0.056320
pkustk03,6.506016,0.410048,0.056320
pkustk04,8.750080,0.931840,0.056320
pkustk05,7.343104,0.913600,0.057344
pkustk06,6.261760,0.909888,0.056320
pkustk07,6.396928,0.410624,0.053248
pkustk08,7.465984,0.418880,0.054272
pkustk09,6.389760,0.416736,0.054272
pkustk10,8.035168,0.897728,0.061440
pkustk11,8.614912,0.889664,0.067584
pkustk12,10.664960,1.047488,0.078848
pkustk13,13.416448,0.926464,0.067584
pkustk14,11.977728,1.945664,0.069632
pli,4.584448,0.421920,0.054272
pltexpa,0.075424,0.386496,0.053248
poisson3Da,0.118304,0.395264,0.054272
poisson3Db,0.311296,0.405632,0.057344
pre2,0.167936,1.389248,0.089088
preferentialAttachment,4.717568,0.911072,0.063488
psse0,0.072800,0.899104,0.054272
psse2,0.071488,0.901696,0.055296
pwt,0.073472,0.394816,0.054272
pwtk,10.970112,0.928608,0.074752
qa8fk,0.099936,1.115808,0.081920
qa8fm,0.101248,0.888768,0.060416
raefsky3,5.008384,0.409664,0.053248
raefsky4,4.692992,0.407712,0.056320
rail_20209,0.072288,0.393824,0.053248
rail_79841,0.077728,0.402880,0.058368
rajat09,0.072160,0.904352,0.054272
rajat10,0.071200,0.400672,0.053248
rajat15,0.132096,0.403232,0.056320
rajat16,4.792320,1.130944,0.067584
rajat17,4.852736,0.909728,0.063488
rajat18,4.775936,1.063232,0.064512
rajat20,5.254144,0.416128,0.063488
rajat21,6.811648,1.385920,0.086016
rajat22,0.129024,0.405024,0.053248
rajat23,0.151552,0.892640,0.080896
rajat24,6.779904,1.588672,0.095232
rajat25,4.830208,0.418272,0.062464
rajat26,0.120832,0.912608,0.058368
rajat28,5.338112,0.418848,0.061440
rajat29,14.611456,1.402592,0.134144
rajat30,15.767552,1.926144,0.163840
rajat31,0.340896,6.394336,0.294912
ramage02,6.837248,0.403808,0.053248
rel8,0.086368,1.413024,0.077824
rel9,0.561792,2.996896,0.498688
relat8,0.096064,1.381856,0.071680
relat9,0.714304,4.372992,0.646144
rgg_n_2_15_s0,0.077824,0.452096,0.054272
rgg_n_2_16_s0,0.080960,0.945024,0.059392
rgg_n_2_17_s0,0.083968,0.952640,0.063488
rgg_n_2_18_s0,0.105280,1.416448,0.071680
rgg_n_2_19_s0,0.134944,1.614528,0.088064
rgg_n_2_20_s0,0.189280,1.455616,0.099328
rgg_n_2_21_s0,0.302048,1.464480,0.144384
rgg_n_2_22_s0,0.517216,2.664736,0.247808
ri2010,0.072480,0.390112,0.053248
rim,0.133120,0.420096,0.055296
rlfprim,0.102048,0.406464,0.056320
rma10,6.224896,0.926176,0.057344
roadNet-CA,0.174176,1.642688,0.141312
roadNet-PA,0.142400,1.464576,0.103424
roadNet-TX,0.143264,1.602848,0.115712
route,3.415040,0.403392,0.054272
s3dkq4m2,8.945664,0.873888,0.061440
s3dkt3m2,0.127904,0.883552,0.061440
s4dkt3m2,0.122432,0.869536,0.061440
sc2010,0.076640,0.911296,0.066560
sc205-2r,0.082848,0.406688,0.054272
scagr7-2r,0.073312,0.398176,0.053248
scfxm1-2b,0.072224,0.394208,0.052224
scfxm1-2r,0.076480,0.388640,0.055296
scircuit,0.094560,4.365952,0.066560
sctap1-2r,0.077728,0.388384,0.054272
sd2010,0.084800,0.405120,0.059392
sgpf5y6,0.081600,0.889760,0.071680
shallow_water1,0.078752,0.882656,0.060416
shallow_water2,0.078752,0.871648,0.060416
shar_te2-b2,0.076672,0.877312,0.066560
shar_te2-b3,0.077184,0.878976,0.067584
shermanACb,0.159744,0.408896,0.052224
ship_001,8.449024,0.422848,0.055296
ship_003,10.117120,0.912736,0.068608
shipsec1,9.747104,1.502048,0.072704
shipsec5,10.681440,0.907968,0.070656
shipsec8,9.137152,0.931520,0.066560
shock-9,0.073472,0.395008,0.053248
shuttle_eddy,0.080448,0.391168,0.051200
shyy161,0.079552,0.885120,0.060416
sinc15,0.158720,0.411648,0.054272
sinc18,0.179200,0.399264,0.054272
skirt,0.081792,0.386048,0.051200
sls,0.163712,1.498048,0.132096
smallworld,0.083008,0.878560,0.064512
sme3Da,0.217088,0.398336,0.056320
sme3Db,5.449728,0.407968,0.054272
sme3Dc,6.627328,3.530848,0.060416
smt,8.011776,0.407232,0.052224
soc-Epinions1,4.419584,0.448736,0.058368
soc-LiveJournal1,28.105728,9.252448,0.335872
soc-Slashdot0811,0.186368,0.449440,0.060416
soc-Slashdot0902,0.195584,0.470656,0.061440
soc-sign-Slashdot081106,0.139264,0.464512,0.078848
soc-sign-Slashdot090216,0.141312,0.464544,0.059392
soc-sign-Slashdot090221,0.140288,0.461536,0.060416
soc-sign-epinions,4.623360,0.956608,0.064512
south31,0.073504,0.393696,0.052224
spal_004,35.081215,1.667072,0.094208
sparsine,0.098400,0.997408,0.069632
spmsrtls,0.074624,0.389760,0.054272
srb1,6.519808,0.901440,0.056320
stat96v2,0.194560,0.408832,0.053248
stat96v3,0.189440,0.419616,0.053248
std1_Jac2,11.048960,0.415168,0.053248
std1_Jac2_db,4.457472,0.428416,0.061440
std1_Jac3,11.339776,0.422240,0.054272
std1_Jac3_db,4.480000,0.417984,0.054272
stokes128,0.084608,0.893376,0.057344
stokes64,0.080768,0.377856,0.051200
stokes64s,0.082048,0.377856,0.050176
stomach,0.095616,0.897376,0.067584
stormG2_1000,0.106848,1.455424,0.083968
stormg2-125,0.090464,0.447904,0.057344
struct3,0.089888,0.898752,0.059392
t2dah,0.081568,0.396288,0.051200
t2dah_a,0.082080,0.397312,0.051200
t2dah_e,0.085824,0.401408,0.051200
t2em,0.126944,1.567936,0.149504
t3dh,0.163840,1.097312,0.060416
t3dh_a,0.158720,0.899360,0.059392
t3dh_e,0.163840,0.928864,0.071680
t3dl,0.091520,0.395040,0.056320
t3dl_a,0.090912,0.396832,0.055296
t60k,0.074208,0.922400,0.057344
tandem_dual,0.083200,0.895328,0.062464
tandem_vtx,0.082656,0.390720,0.053248
ted_A,4.431872,0.407552,0.054272
ted_AB,4.371456,0.415744,0.057344
ted_AB_unscaled,4.365312,0.408576,0.057344
ted_A_unscaled,4.352000,0.406528,0.055296
ted_B,0.082944,0.391168,0.052224
ted_B_unscaled,0.083776,0.389120,0.051200
thermal1,0.080768,0.404256,0.060416
thermal2,0.169920,1.389344,0.106496
thermomech_TC,0.082816,0.886240,0.063488
thermomech_TK,0.083840,0.888576,0.063488
thermomech_dK,0.096224,0.924992,0.066560
thermomech_dM,0.086560,1.820064,0.070656
thread,8.505344,0.412256,0.053248
tmt_sym,0.123968,1.375936,0.090112
tmt_unsym,0.125920,2.299840,0.165888
tn2010,0.290720,0.908192,0.069632
tomographic1,0.084672,0.942656,0.073728
torsion1,0.072096,0.389568,0.054272
torso1,16.762880,0.647200,0.070656
torso2,0.087168,0.920672,0.061440
torso3,0.114848,0.957632,0.074752
tp-6,19.043327,0.750592,0.190464
trans4,5.812224,1.016992,0.086016
trans5,5.816320,1.083776,0.093184
transient,5.513216,0.960064,0.070656
trdheim,5.487616,0.617536,0.055296
troll,10.964992,0.935168,0.072704
ts-palko,5.548032,0.427840,0.057344
tsyl201,6.531072,0.419456,0.053248
tube1,4.327808,0.401568,0.055296
tube2,4.337184,0.406528,0.056320
turon_m,0.082496,0.900384,0.065536
twotone,0.117760,0.891424,0.062464
tx2010,0.133952,2.624800,0.096256
usroads,0.093120,0.970656,0.063488
usroads-48,0.080064,0.950272,0.063488
ut2010,0.084256,3.855264,0.076800
va2010,0.085376,1.572640,0.073728
vanbody,6.172672,1.051136,0.069632
venkat01,0.101344,0.885472,0.084992
venkat25,0.102304,0.884576,0.058368
venkat50,0.107296,0.895136,0.058368
venturiLevel3,0.288608,1.855232,0.235520
vfem,0.091232,0.875616,0.061440
vibrobox,0.132096,0.395264,0.052224
viscoplastic2,0.125536,0.413408,0.079872
viscorocks,0.099168,0.395936,0.056320
vsp_barth5_1Ksep_50in_5Kout,0.072480,0.393024,0.055296
vsp_bcsstk30_500sep_10in_1Kout,0.166912,0.484448,0.065536
vsp_befref_fxm_2_4_air02,3.448832,0.396288,0.051200
vsp_bump2_e18_aa01_model1_crew1,4.559872,0.901984,0.058368
vsp_c-30_data_data,2.138112,0.403456,0.051200
vsp_c-60_data_cti_cs4,0.121632,0.403744,0.060416
vsp_finan512_scagr7-2c_rlfddd,0.176128,0.888896,0.062464
vsp_mod2_pgp2_slptsk,6.492160,0.887456,0.062464
vsp_model1_crew1_cr42_south31,5.037056,0.425312,0.058368
vsp_msc10848_300sep_100in_1Kout,0.202752,0.420000,0.053248
vsp_p0291_seymourl_iiasa,0.140288,0.400384,0.051200
vsp_sctap1-2b_and_seymourl,9.713664,0.406688,0.055296
vsp_south31_slptsk,5.107712,0.416352,0.056320
vsp_vibrobox_scagr7-2c_rlfddd,0.182272,0.405216,0.059392
vt2010,0.072512,0.395232,0.053248
wa2010,0.085344,1.296448,0.066560
wang3,0.072608,0.389504,0.053248
wang4,0.072576,0.387808,0.052224
water_tank,5.338048,1.008864,0.070656
wathen100,0.081472,0.389888,0.055296
wathen120,0.082976,0.393824,0.056320
watson_1,0.085632,0.912000,0.068608
watson_2,0.096128,1.369888,0.073728
wave,0.095456,0.889504,0.063488
waveguide3D,0.081536,0.401824,0.052224
web-BerkStan,10.175488,1.438400,0.088064
web-Google,0.139584,1.425056,0.095232
web-NotreDame,5.785600,1.385056,0.071680
web-Stanford,0.097536,1.575968,0.070656
webbase-1M,9.633792,1.406112,0.096256
wheel_601,0.152576,1.368640,0.091136
wi2010,0.088608,0.888800,0.071680
wiki-Talk,10.488832,3.120832,0.175104
wikipedia-20051105,16.375809,1.704864,0.132096
wikipedia-20060925,17.695744,1.734464,0.196608
wikipedia-20061104,17.992704,2.444288,0.203776
wikipedia-20070206,19.851265,2.344512,0.228352
windscreen,0.153600,0.422080,0.054272
wing,0.076192,0.874880,0.057344
wing_nodal,0.080864,0.393216,0.053248
world,0.102656,0.411424,0.055296
wv2010,0.080960,0.895776,0.065536
wy2010,0.081856,0.404704,0.057344
x104,10.936320,0.388768,0.063488
xenon1,0.097920,1.741056,0.059392
xenon2,0.099360,0.900128,0.067584
